Date,value
8/29/2012,-0.134838709
8/30/2012,-0.123225806
8/31/2012,-0.111612903
9/1/2012,-0.1
9/2/2012,-0.105666666
9/3/2012,-0.111333333
9/4/2012,-0.116999999
9/5/2012,-0.122666666
9/6/2012,-0.128333332
9/7/2012,-0.133999999
9/8/2012,-0.139666665
9/9/2012,-0.145333332
9/10/2012,-0.150999998
9/11/2012,-0.156666665
9/12/2012,-0.162333331
9/13/2012,-0.167999998
9/14/2012,-0.173666664
9/15/2012,-0.179333331
9/16/2012,-0.184999998
9/17/2012,-0.190666664
9/18/2012,-0.196333331
9/19/2012,-0.201999998
9/20/2012,-0.207666664
9/21/2012,-0.213333331
9/22/2012,-0.218999998
9/23/2012,-0.224666665
9/24/2012,-0.230333331
9/25/2012,-0.235999998
9/26/2012,-0.241666665
9/27/2012,-0.247333332
9/28/2012,-0.252999999
9/29/2012,-0.258666666
9/30/2012,-0.264333333
10/1/2012,-0.27
10/2/2012,-0.252258064
10/3/2012,-0.234516129
10/4/2012,-0.216774193
10/5/2012,-0.199032258
10/6/2012,-0.181290322
10/7/2012,-0.163548386
10/8/2012,-0.145806451
10/9/2012,-0.128064515
10/10/2012,-0.11032258
10/11/2012,-0.092580645
10/12/2012,-0.074838709
10/13/2012,-0.057096774
10/14/2012,-0.039354838
10/15/2012,-0.021612903
10/16/2012,-0.003870967
10/17/2012,0.013870968
10/18/2012,0.031612903
10/19/2012,0.049354839
10/20/2012,0.067096774
10/21/2012,0.08483871
10/22/2012,0.102580645
10/23/2012,0.120322581
10/24/2012,0.138064516
10/25/2012,0.155806451
10/26/2012,0.173548387
10/27/2012,0.191290322
10/28/2012,0.209032258
10/29/2012,0.226774193
10/30/2012,0.244516129
10/31/2012,0.262258064
11/1/2012,0.28
11/2/2012,0.275333333
11/3/2012,0.270666666
11/4/2012,0.265999999
11/5/2012,0.261333332
11/6/2012,0.256666665
