Date,TCU
3/24/2012,77.08468384
3/25/2012,77.09914836
3/26/2012,77.11361288
3/27/2012,77.1280774
3/28/2012,77.14254192
3/29/2012,77.15700644
3/30/2012,77.17147096
3/31/2012,77.18593548
4/1/2012,77.2004
4/2/2012,77.19977666
4/3/2012,77.19915332
4/4/2012,77.19852998
4/5/2012,77.19790665
4/6/2012,77.19728331
4/7/2012,77.19665997
4/8/2012,77.19603664
4/9/2012,77.1954133
4/10/2012,77.19478996
4/11/2012,77.19416663
4/12/2012,77.19354329
4/13/2012,77.19291996
4/14/2012,77.19229663
4/15/2012,77.19167329
4/16/2012,77.19104996
4/17/2012,77.19042662
4/18/2012,77.18980329
4/19/2012,77.18917996
4/20/2012,77.18855663
4/21/2012,77.1879333
4/22/2012,77.18730996
4/23/2012,77.18668663
4/24/2012,77.1860633
4/25/2012,77.18543997
4/26/2012,77.18481664
4/27/2012,77.18419331
4/28/2012,77.18356998
4/29/2012,77.18294666
4/30/2012,77.18232333
5/1/2012,77.1817
5/2/2012,77.17703548
5/3/2012,77.17237096
5/4/2012,77.16770644
5/5/2012,77.16304192
5/6/2012,77.1583774
5/7/2012,77.15371288
5/8/2012,77.14904836
5/9/2012,77.14438384
5/10/2012,77.13971932
5/11/2012,77.1350548
5/12/2012,77.13039028
5/13/2012,77.12572576
5/14/2012,77.12106125
5/15/2012,77.11639673
5/16/2012,77.11173221
5/17/2012,77.1070677
5/18/2012,77.10240318
5/19/2012,77.09773867
5/20/2012,77.09307415
5/21/2012,77.08840964
5/22/2012,77.08374512
5/23/2012,77.07908061
5/24/2012,77.0744161
5/25/2012,77.06975158
5/26/2012,77.06508707
5/27/2012,77.06042256
5/28/2012,77.05575804
5/29/2012,77.05109353
5/30/2012,77.04642902
5/31/2012,77.04176451
6/1/2012,77.0371
6/2/2012,77.03847666
6/3/2012,77.03985332
6/4/2012,77.04122999
6/5/2012,77.04260665
6/6/2012,77.04398331
6/7/2012,77.04535997
6/8/2012,77.04673664
6/9/2012,77.0481133
6/10/2012,77.04948997
6/11/2012,77.05086663
6/12/2012,77.0522433
6/13/2012,77.05361996
6/14/2012,77.05499663
6/15/2012,77.05637329
6/16/2012,77.05774996
6/17/2012,77.05912663
6/18/2012,77.06050329
6/19/2012,77.06187996
6/20/2012,77.06325663
6/21/2012,77.0646333
6/22/2012,77.06600997
6/23/2012,77.06738663
6/24/2012,77.0687633
6/25/2012,77.07013997
6/26/2012,77.07151664
6/27/2012,77.07289331
6/28/2012,77.07426999
6/29/2012,77.07564666
6/30/2012,77.07702333
7/1/2012,77.0784
7/2/2012,77.06416451
7/3/2012,77.04992902
7/4/2012,77.03569353
7/5/2012,77.02145805
7/6/2012,77.00722256
7/7/2012,76.99298707
7/8/2012,76.97875158
7/9/2012,76.9645161
7/10/2012,76.95028061
7/11/2012,76.93604513
7/12/2012,76.92180964
7/13/2012,76.90757415
7/14/2012,76.89333867
7/15/2012,76.87910319
7/16/2012,76.8648677
7/17/2012,76.85063222
7/18/2012,76.83639673
7/19/2012,76.82216125
7/20/2012,76.80792577
7/21/2012,76.79369029
7/22/2012,76.7794548
7/23/2012,76.76521932
7/24/2012,76.75098384
7/25/2012,76.73674836
7/26/2012,76.72251288
7/27/2012,76.7082774
7/28/2012,76.69404192
7/29/2012,76.67980644
7/30/2012,76.66557096
7/31/2012,76.65133548
8/1/2012,76.6371
8/2/2012,76.63161612
8/3/2012,76.62613225
8/4/2012,76.62064837
8/5/2012,76.6151645
8/6/2012,76.60968062
8/7/2012,76.60419675
8/8/2012,76.59871288
8/9/2012,76.593229
8/10/2012,76.58774513
8/11/2012,76.58226126
8/12/2012,76.57677739
8/13/2012,76.57129351
8/14/2012,76.56580964
8/15/2012,76.56032577
8/16/2012,76.5548419
8/17/2012,76.54935803
8/18/2012,76.54387416
8/19/2012,76.53839029
8/20/2012,76.53290642
8/21/2012,76.52742255
8/22/2012,76.52193868
8/23/2012,76.51645481
8/24/2012,76.51097094
8/25/2012,76.50548707
8/26/2012,76.5000032
8/27/2012,76.49451933
8/28/2012,76.48903547
8/29/2012,76.4835516
8/30/2012,76.47806773
8/31/2012,76.47258387
9/1/2012,76.4671
9/2/2012,76.47093666
9/3/2012,76.47477332
9/4/2012,76.47860999
9/5/2012,76.48244665
9/6/2012,76.48628331
