Date,XOI
7/20/2016,"1,138.93"
7/19/2016,"1,139.38"
7/18/2016,"1,149.75"
7/15/2016,"1,150.71"
7/14/2016,"1,156.93"
7/13/2016,"1,150.13"
7/12/2016,"1,162.43"
7/11/2016,"1,134.72"
7/8/2016,"1,130.73"
7/7/2016,"1,116.88"
7/6/2016,"1,130.60"
7/5/2016,"1,130.94"
7/1/2016,"1,155.60"
6/30/2016,"1,145.44"
6/29/2016,"1,136.94"
6/28/2016,"1,108.06"
6/27/2016,"1,075.97"
6/24/2016,"1,109.46"
6/23/2016,"1,162.66"
6/22/2016,"1,136.72"
6/21/2016,"1,143.68"
6/20/2016,"1,131.37"
6/17/2016,"1,114.76"
6/16/2016,"1,103.41"
6/15/2016,"1,105.62"
6/14/2016,"1,108.41"
6/13/2016,"1,112.82"
6/10/2016,"1,125.76"
6/9/2016,"1,151.14"
6/8/2016,"1,161.96"
6/7/2016,"1,159.78"
6/6/2016,"1,129.87"
6/3/2016,"1,112.18"
6/2/2016,"1,117.24"
6/1/2016,"1,117.84"
5/31/2016,"1,115.32"
5/27/2016,"1,123.38"
5/26/2016,"1,124.56"
5/25/2016,"1,131.94"
5/24/2016,"1,113.18"
5/23/2016,"1,102.76"
5/20/2016,"1,108.54"
5/19/2016,"1,103.22"
5/18/2016,"1,109.34"
5/17/2016,"1,119.53"
5/16/2016,"1,121.02"
5/13/2016,"1,101.34"
5/12/2016,"1,115.90"
5/11/2016,"1,116.77"
5/10/2016,"1,114.46"
5/9/2016,"1,089.22"
5/6/2016,"1,106.92"
5/5/2016,"1,109.72"
5/4/2016,"1,105.97"
5/3/2016,"1,127.26"
5/2/2016,"1,157.80"
4/29/2016,"1,160.27"
4/28/2016,"1,170.09"
